,Seatpost LENGTH,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,FORK0R,BB diameter,ttd,dtd,csd,std,htd,ssd,Chain stay position on BB,SSTopZOFFSET,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube,Wheel diameter front,RDBSD,Wheel diameter rear,FDBSD,BB length,Wheel cut,BELTorCHAIN,Number of cogs,Number of chainrings,FIRST color R_RGB,FIRST color G_RGB,FIRST color B_RGB,SPOKES composite front,SPOKES composite rear,SBLADEW front,SBLADEW rear,Saddle length,Saddle height,MATERIAL OHCLASS: ALUMINIUM,MATERIAL OHCLASS: STEEL,MATERIAL OHCLASS: TITANIUM,Head tube type OHCLASS: 0,Head tube type OHCLASS: 1,Head tube type OHCLASS: 2,Head tube type OHCLASS: 3,Down tube type OHCLASS: 0,Down tube type OHCLASS: 1,Down tube type OHCLASS: 2,RIM_STYLE front OHCLASS: DISC,RIM_STYLE front OHCLASS: SPOKED,RIM_STYLE front OHCLASS: TRISPOKE,RIM_STYLE rear OHCLASS: DISC,RIM_STYLE rear OHCLASS: SPOKED,RIM_STYLE rear OHCLASS: TRISPOKE,Handlebar style OHCLASS: 0,Handlebar style OHCLASS: 1,Handlebar style OHCLASS: 2,Stem kind OHCLASS: 0,Stem kind OHCLASS: 1,Stem kind OHCLASS: 2,Fork type OHCLASS: 0,Fork type OHCLASS: 1,Fork type OHCLASS: 2,Seat tube type OHCLASS: 0,Seat tube type OHCLASS: 1,Seat tube type OHCLASS: 2
993,150.0,377.825,-12.77,531.2442,74.5,115.3,30.0,437.2,74.5,646.71704,20.0,50.0,31.8,36.5,21.275,30.2,45.0,16.25,15.0,9.0,25.0,24.4,30.0,330.0,300.0,16.0,18.0,0.0,0.0,120.0,3.4802094,1.1386516,2.5466757,1.6535761,1.5932187,1.5958116,1.825054,708.0,86.0,708.0,86.0,68.0,692.0,1.0,0.0,0.0,204.0,204.0,255.0,1.0,1.0,80.0,80.0,278.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2063,300.0,390.0,45.0,625.4132,74.0,175.9,45.0,541.0,74.0,673.3149,45.0,40.0,25.4,28.6,20.45,28.6,36.0,15.0,15.0,9.0,29.8,46.0,41.9,330.0,350.0,16.0,18.0,0.0,0.0,120.0,2.7232432,1.2935735,1.4194709,1.2968391,1.4912791,0.99260944,2.0893407,676.0,54.0,676.0,54.0,68.0,692.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,80.0,80.0,278.0,718.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1765,300.0,385.0,68.0,572.0077,72.2,126.2,225.0,542.0,78.0,658.586,45.0,40.0,31.8,100.0,27.525,30.2,45.0,26.5,15.0,9.0,35.6,20.0,0.0,330.0,350.0,16.0,18.0,1.0,1.0,130.0,2.3856752,0.6045186,1.4278293,1.4857229,2.2314694,0.981985,0.9570719,674.0,52.0,674.0,52.0,68.0,692.0,1.0,8.0,1.0,204.0,204.0,255.0,1.0,1.0,80.0,80.0,278.0,796.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4340,330.0,400.0,57.0,600.04517,73.0,150.1,45.0,610.0,75.0,624.1399,45.0,40.0,31.8,31.8,18.775,31.8,31.8,13.75,15.0,9.0,31.5,47.2,43.3,330.0,350.0,10.0,18.0,1.0,1.0,120.0,3.662012,1.1883374,3.2837198,1.1969978,2.2611914,2.7911148,1.0365256,674.0,52.0,674.0,52.0,68.0,692.0,1.0,0.0,0.0,255.0,0.0,0.0,1.0,1.0,80.0,80.0,298.0,730.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1847,300.0,405.0,70.0,593.72784,73.0,145.2,45.0,596.8,74.0,657.34424,45.0,40.0,30.0,30.0,20.45,30.0,30.0,15.0,15.0,9.0,38.4,46.8,49.0,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2.3669627,1.6962423,0.9560031,1.7548789,2.4030526,0.8571653,1.4418365,674.0,52.0,674.0,52.0,68.0,692.0,0.0,0.0,0.0,255.0,255.0,255.0,1.0,1.0,80.0,80.0,278.0,800.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3274,330.0,405.0,70.0,572.02496,73.5,135.5,65.0,468.3,74.0,643.10803,30.0,40.0,28.0,59.0,20.45,30.2,45.0,17.5,15.0,9.0,25.0,48.3,49.8,330.0,350.0,16.0,18.0,1.0,1.0,130.0,3.6823647,1.1608938,0.92658913,1.2501792,1.5413129,0.82165426,1.7859515,674.0,52.0,674.0,52.0,68.0,692.0,1.0,10.0,1.0,255.0,255.0,255.0,1.0,1.0,80.0,80.0,265.0,725.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4632,440.0,435.0,56.00555,552.6499,65.00074,110.0,50.0,420.0,78.50074,738.2988,45.0,40.0,31.8,36.5,18.175,32.7,50.0,15.0,15.0,9.0,25.2,53.0,39.9,330.0,350.0,10.0,18.0,0.0,0.0,142.0,3.189881,1.289276,2.9804764,2.8514204,1.2022948,2.3933828,2.3677988,754.0,170.0,754.0,170.0,73.0,692.0,1.0,10.0,0.0,0.0,153.0,51.0,1.0,1.0,80.0,80.0,278.0,708.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2356,330.0,420.0,75.0,630.26276,73.5,189.3,35.0,615.6,73.0,658.11444,50.0,40.0,28.6,31.7,20.45,28.6,32.0,15.0,15.0,9.0,29.7,15.6,36.1,330.0,350.0,16.0,18.0,1.0,1.0,130.0,2.8775327,1.8950763,1.6059173,2.0400605,3.9067416,1.4794223,2.0175009,680.0,58.0,680.0,58.0,68.0,692.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,80.0,80.0,270.0,781.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1773,300.0,400.0,70.0,549.4713,72.0,111.9,160.0,495.3,76.0,633.8229,50.0,40.0,20.0,80.0,23.775,30.2,45.0,17.5,15.0,9.0,22.0,5.3,50.0,330.0,350.0,16.0,18.0,0.0,1.0,130.0,1.3899232,0.63544506,1.1515894,1.9344065,1.2725701,0.6415224,0.6654658,674.0,52.0,674.0,52.0,68.0,688.0,1.0,9.0,1.0,0.0,51.0,51.0,1.0,1.0,80.0,80.0,300.0,730.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1004,300.0,425.0,40.0,548.4475,67.5,115.0,50.0,527.0,71.0,669.9921,45.0,40.0,31.8,33.0,20.45,31.8,40.0,15.0,15.0,9.0,25.0,70.0,50.0,330.0,300.0,16.0,18.0,0.0,0.0,130.0,3.099452,1.5465735,1.1927607,0.94816107,1.570419,1.475701,0.8847628,670.0,86.0,670.0,86.0,68.0,692.0,1.0,0.0,0.0,204.0,0.0,153.0,1.0,1.0,80.0,80.0,278.0,770.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3643,330.0,355.0,14.0,566.8424,73.5,190.7,45.0,568.0,74.0,608.193,30.0,40.0,31.8,34.9,20.45,27.2,45.0,15.0,15.0,9.0,32.2,48.0,44.0,330.0,350.0,16.0,18.0,1.0,1.0,135.0,1.8694128,0.71670055,0.7981141,1.7728058,1.1001102,0.8063351,0.6655782,626.0,67.0,626.0,67.0,68.0,692.0,1.0,0.0,0.0,0.0,51.0,102.0,1.0,1.0,80.0,80.0,298.0,755.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
95,400.0,445.0,60.0,643.55835,71.0,135.0,60.0,520.0,73.5,741.9035,47.0,35.0,30.0,36.0,21.45,30.4,39.0,18.25,15.0,11.2,23.5,62.0,60.0,330.0,350.0,16.0,18.0,0.0,0.0,135.0,4.38195,0.86272424,1.5066748,1.0371164,3.093274,3.4501576,1.7380592,736.0,114.0,736.0,114.0,100.0,692.0,1.0,7.0,1.0,153.0,255.0,0.0,1.0,1.0,80.0,80.0,278.0,745.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1118,200.0,388.34,0.0,478.68707,72.0,100.0,45.0,353.9,74.0,646.21893,45.0,40.0,34.0,46.5,21.275,30.2,54.0,17.5,15.0,9.0,27.1,53.9,40.0,330.0,300.0,16.0,18.0,0.0,0.0,130.0,2.681259,2.5246804,2.4585392,0.95342094,2.5467818,1.6970541,0.894754,674.0,52.0,674.0,52.0,68.0,692.0,1.0,0.0,0.0,0.0,0.0,102.0,1.0,1.0,80.0,80.0,238.0,428.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
235,300.0,410.0,51.036373,575.08777,71.4621,127.0,45.0,530.0,71.4621,621.3283,32.0,40.0,31.8,36.5,20.45,30.2,45.0,15.0,15.0,9.0,37.1,22.4,51.7,330.0,350.0,16.0,18.0,0.0,0.0,120.0,1.6689367,0.8373977,1.0080698,0.65545434,1.954393,1.7242582,0.6462485,674.0,52.0,674.0,52.0,68.0,692.0,1.0,0.0,0.0,51.0,0.0,0.0,1.0,3.0,80.0,50.0,278.0,700.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4425,330.0,407.0,66.65829,617.57117,73.37987,172.3,45.0,597.5,72.87987,662.8012,45.0,40.0,31.8,36.5,20.45,31.8,45.0,15.0,15.0,9.0,31.5,47.5,48.6,330.0,350.0,16.0,18.0,1.0,1.0,130.0,1.9095579,1.330328,1.2099651,1.3398029,0.8303833,0.8048175,0.67947435,674.0,52.0,674.0,52.0,68.0,692.0,1.0,8.0,1.0,0.0,51.0,102.0,1.0,1.0,80.0,80.0,298.0,828.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3471,330.0,290.0,20.0,430.88388,73.0,123.9,45.0,330.9,74.0,459.39102,45.0,40.0,31.8,36.5,20.45,31.8,45.0,15.0,15.0,9.0,26.3,40.9,50.0,330.0,350.0,16.0,18.0,1.0,1.0,130.0,1.5262123,0.5886549,1.1207018,0.4175854,0.7185079,0.67000884,0.54505974,486.0,80.0,486.0,80.0,68.0,692.0,1.0,6.0,0.0,255.0,0.0,51.0,3.0,3.0,40.0,40.0,210.0,450.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
940,300.0,384.18,0.0,479.61322,72.5,100.0,45.0,285.8,74.0,603.52686,45.0,40.0,31.8,36.5,21.125,30.2,45.0,17.5,15.0,9.0,25.7,35.8,52.0,330.0,300.0,16.0,18.0,0.0,0.0,130.0,3.354666,1.4885564,0.80542105,0.79937375,1.4041172,1.815418,1.5515805,674.0,52.0,674.0,52.0,68.0,692.0,1.0,0.0,0.0,255.0,255.0,255.0,1.0,1.0,80.0,80.0,248.0,389.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2737,134.0,420.0,78.0,621.39923,71.9,175.0,150.0,675.0,73.3,648.9744,48.0,40.0,32.55,43.75,20.45,31.225,52.0,15.75,15.0,9.0,40.0,150.0,45.0,330.0,350.0,16.0,18.0,1.0,1.0,130.0,0.89890456,0.6492337,0.69280124,0.70014864,0.64086676,0.37445983,0.55412203,674.0,52.0,674.0,52.0,68.0,692.0,1.0,8.0,1.0,76.0,76.0,76.0,1.0,1.0,80.0,80.0,275.0,751.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1900,300.0,412.0,70.0,563.22174,73.0,116.0,30.0,495.2,73.0,644.189,45.0,40.0,25.4,28.6,17.35,28.6,31.7,12.25,15.0,9.0,31.0,25.2,33.2,330.0,350.0,16.0,18.0,0.0,0.0,130.0,3.0490983,2.1598468,3.4296958,3.319287,1.7877991,3.06766,3.3791075,685.0,63.0,685.0,63.0,68.0,692.0,1.0,8.0,1.0,255.0,255.0,255.0,1.0,1.0,80.0,80.0,278.0,673.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2883,130.0,365.0,60.0,515.86584,71.5,100.0,120.0,600.0,67.0,651.4549,32.0,40.0,28.35,36.25,21.525,30.4,40.0,16.5,15.0,0.0,130.0,25.0,92.0,330.0,350.0,16.0,18.0,1.0,1.0,120.0,1.9441981,1.4846342,1.1556971,0.8425096,1.4329023,2.4342396,1.6680098,674.0,52.0,674.0,52.0,68.0,692.0,1.0,0.0,0.0,0.0,204.0,204.0,1.0,1.0,80.0,80.0,255.0,710.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
276,400.0,450.0,60.0,553.6421,72.0,137.8,45.0,546.0,72.0,687.5566,50.0,40.0,33.0,40.0,20.0,31.8,45.0,17.8,15.0,8.0,27.7,55.7,64.3,330.0,350.0,16.0,18.0,0.0,0.0,135.0,1.2691897,0.27112275,0.5385858,0.25392312,0.45890346,0.4702503,0.24479017,736.0,114.0,736.0,114.0,68.0,692.0,1.0,8.0,2.0,0.0,153.0,255.0,1.0,1.0,80.0,80.0,278.0,850.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2088,300.0,425.0,66.0,599.37286,72.0,135.0,90.0,480.0,73.0,658.77136,45.0,40.0,16.0,38.0,20.45,32.7,36.0,14.0,15.0,9.0,25.1,87.0,44.7,330.0,350.0,16.0,18.0,0.0,0.0,130.0,0.821141,0.4679949,0.7589901,0.77857405,0.5821667,0.9962607,0.7116989,689.0,67.0,689.0,67.0,68.0,692.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,80.0,278.0,753.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2155,250.0,400.0,37.0,533.09064,73.0,123.8,40.0,500.0,74.5,621.86884,45.0,38.1,25.4,28.6,17.6,28.6,31.7,12.25,15.0,10.6,30.0,300.0,44.0,330.0,350.0,16.0,18.0,0.0,0.0,120.0,4.0035925,1.3319231,2.5580735,1.0385365,2.0426664,2.129707,2.1626198,674.0,52.0,674.0,52.0,68.0,692.0,1.0,0.0,0.0,255.0,153.0,255.0,1.0,1.0,80.0,80.0,278.0,705.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3205,300.0,440.0,66.5,662.52747,73.0,200.3,30.0,500.0,74.0,704.6648,63.0,40.0,28.6,35.0,17.75,25.4,36.0,10.0,13.0,6.0,30.2,27.9,53.8,380.0,300.0,15.0,18.0,1.0,1.0,130.0,0.64589715,0.43995464,0.33091798,0.1589625,0.22426009,0.39993006,0.3067059,693.0,71.0,693.0,71.0,73.0,692.0,1.0,7.0,1.0,48.0,13.0,1.0,1.0,1.0,80.0,80.0,265.0,770.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2661,330.0,440.0,70.0,594.72406,72.5,141.0,45.0,591.6,72.0,648.7679,45.0,40.0,31.8,36.5,20.45,31.8,45.0,15.0,15.0,9.0,26.8,21.6,38.8,330.0,350.0,16.0,18.0,1.0,1.0,130.0,1.7456733,0.6295503,0.73724645,0.5903001,1.2241666,0.66448164,0.5210434,684.0,52.0,684.0,52.0,68.0,692.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,80.0,298.0,680.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2542,300.0,411.42,65.0,572.11554,73.0,140.0,90.0,620.0,71.40146,641.97266,50.0,46.0,35.0,55.0,23.775,31.8,46.0,13.5,15.0,9.0,36.8,52.5,61.9,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2.4799807,2.9415798,2.320817,1.8163028,1.5641425,2.075956,1.5301749,674.0,52.0,674.0,52.0,84.0,692.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,80.0,275.0,805.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3581,300.0,438.0,82.0,645.269,70.0,145.5,45.0,460.0,72.0,714.82245,55.0,40.0,31.9,38.0,18.275,31.9,42.0,14.7,15.0,9.0,33.7,44.9,49.2,330.0,350.0,16.0,18.0,0.0,0.0,130.0,8.536267,2.046574,2.9002244,3.4339468,2.3189588,3.0175724,1.9667201,738.0,116.0,738.0,116.0,68.0,692.0,1.0,8.0,0.0,194.0,29.0,29.0,1.0,1.0,80.0,80.0,278.0,750.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2154,330.0,429.0,77.5,527.78577,71.5,180.0,45.0,504.9,73.0,594.5001,45.0,40.0,31.8,36.5,20.45,31.8,45.0,15.0,15.0,9.0,34.0,21.9,39.0,330.0,350.0,16.0,18.0,1.0,1.0,130.0,0.5306925,0.45838642,0.5310789,0.70832574,0.5332466,0.3479792,0.6218881,592.0,63.0,685.0,85.0,68.0,692.0,1.0,8.0,1.0,0.0,51.0,102.0,1.0,1.0,80.0,80.0,298.0,718.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1748,300.0,318.9,48.007088,418.55264,71.00129,116.8,45.0,350.8,73.00129,430.80597,45.0,40.0,31.8,36.5,20.45,30.2,45.0,15.0,15.0,9.0,33.2,29.6,51.8,330.0,350.0,16.0,18.0,0.0,0.0,130.0,1.363686,0.3547675,0.7498941,0.7069693,0.849683,0.5361154,1.2461377,486.0,80.0,486.0,80.0,68.0,692.0,1.0,8.0,0.0,204.0,204.0,255.0,3.0,3.0,40.0,40.0,278.0,458.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4579,330.0,400.0,58.0,632.3606,75.0,194.1,82.0,627.0,75.0,671.3065,43.0,50.0,31.8,42.0,20.45,29.3,50.0,15.0,15.0,9.0,31.7,52.0,52.1,330.0,350.0,16.0,18.0,1.0,1.0,130.0,1.2317901,1.3614539,1.4238087,1.3753496,2.5907855,0.94281334,1.5516874,678.5,56.5,678.5,56.5,68.0,692.0,1.0,0.0,0.0,255.0,102.0,102.0,1.0,1.0,80.0,80.0,275.0,830.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1357,300.0,450.0,0.0,600.2892,78.0,150.0,125.0,565.0,78.0,721.8084,0.0,40.0,25.4,25.4,31.75,38.1,50.8,25.4,25.4,12.7,52.9,40.0,50.0,330.0,300.0,16.0,18.0,0.0,0.0,130.0,3.7548008,1.0067734,0.6977684,1.4312701,1.2926826,1.0578444,0.61287075,700.0,78.0,700.0,78.0,68.0,692.0,1.0,6.0,0.0,255.0,255.0,0.0,1.0,1.0,80.0,80.0,278.0,675.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4261,330.0,430.0,60.0,554.4746,72.0,116.6,45.0,557.2,75.0,632.6385,45.0,40.0,31.8,36.5,20.45,31.8,45.0,15.0,15.0,9.0,33.9,47.2,49.0,330.0,350.0,16.0,18.0,1.0,1.0,135.0,0.801597,0.13341182,0.36047885,0.22899146,0.3742882,0.2775277,0.59286904,689.0,67.0,689.0,67.0,68.0,692.0,1.0,10.0,0.0,153.0,0.0,153.0,1.0,1.0,80.0,80.0,275.0,700.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
225,300.0,390.0,0.0,497.70822,72.0,120.0,45.0,297.4,72.5,639.5079,45.0,40.0,31.8,36.5,20.2,30.2,45.0,17.5,15.0,9.0,27.4,31.4,42.1,330.0,350.0,16.0,18.0,0.0,0.0,130.0,5.25306,2.8160267,1.1226346,1.1520743,1.2106037,1.4735817,1.3879421,674.0,52.0,674.0,52.0,68.0,692.0,1.0,8.0,1.0,51.0,255.0,0.0,1.0,1.0,80.0,80.0,278.0,718.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
125,330.0,454.0,69.0,550.0749,71.0,117.3,55.0,510.0,74.5,703.77167,45.0,41.0,38.1,44.0,22.0,31.8,50.0,16.5,15.0,8.0,22.5,55.8,55.6,330.0,350.0,16.0,18.0,0.0,0.0,135.0,3.5198948,2.369112,2.4539623,1.8287511,2.7976227,3.0974514,1.9135805,750.0,128.0,750.0,128.0,73.0,692.0,1.0,0.0,0.0,153.0,153.0,153.0,1.0,1.0,80.0,80.0,275.0,770.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4009,300.0,420.0,70.0,553.3084,75.0,101.3,45.0,539.7,75.0,643.00867,45.0,40.0,26.0,28.0,17.5,28.0,32.0,13.5,15.0,9.0,28.7,19.7,37.4,330.0,350.0,16.0,18.0,1.0,1.0,130.0,3.9310484,2.1749969,4.492587,2.2374594,5.332139,3.4703686,3.127264,674.0,52.0,674.0,52.0,68.0,692.0,1.0,6.0,1.0,204.0,0.0,0.0,1.0,1.0,80.0,80.0,260.0,691.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1992,300.0,390.2,58.0,555.9435,73.5,130.0,45.0,555.0,74.5,634.707,45.0,40.0,31.8,36.5,20.45,30.2,45.0,15.0,15.0,9.0,33.5,32.0,45.0,330.0,350.0,16.0,18.0,0.0,0.0,120.0,4.347771,2.5388184,3.1181185,3.8834414,3.3526783,4.8160124,2.253401,674.0,52.0,674.0,52.0,68.0,692.0,1.0,0.0,0.0,102.0,0.0,0.0,1.0,1.0,80.0,80.0,278.0,746.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2169,300.0,440.0,70.0,570.4097,67.5,115.0,45.0,450.0,73.0,693.085,45.0,40.0,31.8,34.9,20.45,31.8,44.0,15.0,15.0,9.0,30.2,52.9,49.1,330.0,350.0,16.0,18.0,0.0,0.0,135.0,1.3932859,0.53779495,0.79319704,0.8474593,0.36127415,0.28093207,0.50067794,736.0,114.0,736.0,114.0,68.0,692.0,1.0,0.0,0.0,255.0,255.0,255.0,1.0,1.0,80.0,80.0,278.0,718.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
